energy_level,total_missions,easy_count,medium_count,hard_count,current_streak,target_growth
1,13,13,0,0,14,0.2753
3,16,0,15,1,19,0.3847
1,26,17,4,5,30,0.5920
1,26,11,11,4,0,0.4020
2,24,16,2,6,17,0.4773
2,21,7,14,0,6,0.3620
2,18,17,1,0,22,0.4007
2,27,14,13,0,0,0.4040
1,31,13,9,9,28,0.6747
3,21,16,3,2,12,0.3880
2,5,0,5,0,9,0.1400
2,11,1,4,6,4,0.2127
2,24,17,2,5,17,0.4733
2,23,12,8,3,13,0.4367
2,37,20,9,8,14,0.6613
1,32,15,15,2,16,0.5927
1,27,17,0,10,4,0.4447
3,10,1,3,6,10,0.2367
3,26,17,9,0,20,0.5153
3,8,3,3,2,10,0.1927
3,32,17,7,8,23,0.6473
1,37,12,15,10,30,0.7880
3,34,15,14,5,25,0.6907
1,37,13,15,9,4,0.6107
2,11,6,2,3,12,0.2500
1,32,12,12,8,9,0.5640
2,13,6,0,7,3,0.2300
3,16,15,1,0,24,0.3860
3,33,16,10,7,3,0.5300
1,31,14,7,10,12,0.5680
2,28,9,14,5,23,0.5933
1,35,19,14,2,20,0.6593
2,25,10,15,0,26,0.5533
1,24,14,3,7,24,0.5300
1,32,18,9,5,18,0.6060
3,36,16,11,9,23,0.7153
3,18,12,3,3,11,0.3433
2,21,15,0,6,28,0.5047
3,11,0,2,9,27,0.3740
1,23,13,5,5,27,0.5320
2,4,1,3,0,4,0.0887
2,15,9,4,2,15,0.3260
3,29,13,10,6,22,0.5967
3,29,13,15,1,15,0.5400
1,36,18,8,10,9,0.6200
2,13,4,7,2,0,0.2040
2,20,1,10,9,25,0.5027
1,31,17,7,7,2,0.4893
1,23,19,2,2,24,0.4940
3,26,17,2,7,5,0.4293
2,32,14,8,10,1,0.5107
1,27,9,14,4,18,0.5420
3,33,20,6,7,10,0.5687
2,35,13,13,9,24,0.7120
2,19,8,8,3,13,0.3807
1,17,6,3,8,19,0.4027
2,24,3,11,10,21,0.5380
2,32,8,14,10,21,0.6560
2,22,11,2,9,0,0.3480
1,26,1,15,10,14,0.5273
3,32,14,10,8,22,0.6467
1,22,10,12,0,24,0.4920
1,26,8,14,4,5,0.4413
2,27,15,7,5,3,0.4320
3,23,13,7,3,13,0.4347
3,20,7,5,8,2,0.3353
2,40,16,15,9,24,0.7860
3,27,10,14,3,0,0.4180
1,23,12,10,1,16,0.4527
1,19,8,3,8,8,0.3573
2,13,4,3,6,28,0.3987
1,23,6,8,9,8,0.4273
3,18,10,8,0,24,0.4280
2,15,6,9,0,9,0.2880
2,29,11,9,9,30,0.6600
2,23,14,4,5,1,0.3567
3,38,18,15,5,2,0.5953
2,31,14,7,10,2,0.5013
3,17,2,6,9,12,0.3660
2,29,9,15,5,27,0.6360
2,32,14,14,4,25,0.6587
3,36,14,12,10,9,0.6280
3,15,11,1,3,11,0.2973
2,32,18,6,8,0,0.4920
1,18,12,4,2,29,0.4613
2,38,16,12,10,21,0.7360
3,28,10,9,9,2,0.4593
3,27,12,9,6,7,0.4667
3,18,5,13,0,16,0.3847
2,17,2,13,2,4,0.2987
2,22,14,8,0,15,0.4240
3,20,4,7,9,18,0.4500
3,22,13,4,5,29,0.5293
1,12,3,9,0,12,0.2660
1,19,17,0,2,11,0.3473
1,24,16,3,5,24,0.5220
1,12,4,8,0,12,0.2640
3,41,19,14,8,10,0.7007
1,25,10,9,6,12,0.4720
3,22,16,5,1,12,0.4020
1,23,12,11,0,0,0.3440
3,19,8,1,10,25,0.4747
2,18,14,3,1,2,0.2753
1,33,20,7,6,0,0.5000
3,20,0,12,8,15,0.4360
1,14,5,7,2,19,0.3447
3,26,7,14,5,0,0.4120
2,20,6,4,10,4,0.3547
3,36,14,12,10,8,0.6213
1,20,5,12,3,1,0.3227
3,27,14,13,0,14,0.4973
2,8,0,2,6,11,0.2133
1,22,13,4,5,12,0.4160
3,16,5,9,2,22,0.3967
3,22,8,10,4,15,0.4440
1,29,18,3,8,26,0.6173
3,19,7,2,10,4,0.3367
2,24,11,9,4,12,0.4500
2,23,3,12,8,4,0.4047
3,24,9,14,1,23,0.5213
1,34,20,12,2,2,0.5213
3,20,4,12,4,20,0.4533
2,19,6,12,1,27,0.4740
3,21,12,3,6,25,0.4907
1,42,19,14,9,28,0.8387
2,16,12,1,3,7,0.2847
3,30,14,9,7,1,0.4727
3,21,3,12,6,30,0.5420
1,30,11,13,6,23,0.6233
2,30,18,8,4,24,0.6120
3,24,17,7,0,22,0.4967
2,25,7,11,7,14,0.4933
2,21,0,12,9,6,0.3940
2,42,18,14,10,14,0.7493
3,4,4,0,0,30,0.2560
3,26,12,4,10,26,0.5853
3,31,14,15,2,14,0.5653
1,19,11,8,0,24,0.4420
3,4,1,2,1,22,0.2107
3,24,10,14,0,3,0.3840
3,33,19,13,1,14,0.5853
2,24,12,4,8,17,0.4893
2,25,8,14,3,29,0.5833
2,16,3,8,5,6,0.3000
2,16,0,13,3,22,0.4087
2,4,1,0,3,8,0.1213
2,29,19,1,9,24,0.6040
1,25,12,12,1,26,0.5513
1,19,11,8,0,18,0.4020
2,30,9,15,6,11,0.5473
1,18,2,13,3,15,0.3900
3,20,11,3,6,23,0.4633
1,24,16,8,0,20,0.4853
2,29,5,15,9,26,0.6453
1,14,0,4,10,28,0.4307
1,16,2,5,9,24,0.4300
2,23,8,6,9,26,0.5433
1,12,5,7,0,0,0.1820
2,7,4,1,2,26,0.2813
2,32,13,12,7,13,0.5867
1,7,0,4,3,20,0.2513
3,21,0,14,7,14,0.4433
3,29,8,11,10,30,0.6680
1,34,16,10,8,9,0.5880
1,17,2,11,4,30,0.4760
1,22,5,9,8,5,0.3913
2,22,7,12,3,27,0.5240
2,27,11,11,5,11,0.4933
2,30,17,9,4,8,0.5073
3,24,11,5,8,13,0.4647
3,29,16,12,1,26,0.6073
1,26,10,9,7,14,0.5033
3,36,16,11,9,14,0.6553
2,26,18,8,0,28,0.5667
3,27,15,7,5,29,0.6053
2,28,16,10,2,18,0.5400
1,38,14,14,10,28,0.7867
2,23,16,5,2,16,0.4467
1,28,6,13,9,4,0.4807
2,22,8,14,0,11,0.4093
2,21,4,9,8,12,0.4240
